Ticket ID,Agent,Issue Type,Resolution Time (hrs),Satisfaction Score,Date Resolved
TKT1000,Bayonne,Bug Report,2.25,2,2025-06-16
TKT1001,Bayonne,Login Issue,1.93,5,2025-06-15
TKT1002,Maria,Bug Report,2.32,2,2025-05-26
TKT1003,Linda,Other,2.76,5,2025-06-13
TKT1004,Bayonne,Other,1.88,5,2025-06-08
TKT1005,James,Other,1.88,3,2025-06-01
TKT1006,James,Other,2.79,1,2025-05-29
TKT1007,Linda,Bug Report,2.38,5,2025-05-22
TKT1008,Bayonne,Other,1.77,4,2025-05-30
TKT1009,Linda,Bug Report,2.27,4,2025-06-12
TKT1010,James,Login Issue,1.77,5,2025-06-09
TKT1011,James,Billing,1.77,2,2025-06-13
TKT1012,Bayonne,Login Issue,2.12,4,2025-06-11
TKT1013,James,Bug Report,1.04,2,2025-05-21
TKT1014,James,Feature Request,1.14,5,2025-06-07
TKT1015,Linda,Feature Request,1.72,4,2025-06-10
TKT1016,Bayonne,Login Issue,1.49,3,2025-05-29
TKT1017,Bayonne,Login Issue,2.16,2,2025-06-16
TKT1018,Maria,Other,1.55,3,2025-05-20
TKT1019,Chen,Bug Report,1.29,3,2025-05-23
TKT1020,Bayonne,Feature Request,2.73,4,2025-05-29
TKT1021,Linda,Feature Request,1.89,4,2025-06-06
TKT1022,Maria,Other,2.03,5,2025-06-06
TKT1023,Chen,Billing,1.29,4,2025-06-16
TKT1024,Linda,Bug Report,1.73,2,2025-06-14
TKT1025,Chen,Billing,2.06,4,2025-05-29
TKT1026,Linda,Other,1.42,5,2025-06-15
TKT1027,Linda,Other,2.19,4,2025-05-19
TKT1028,Linda,Feature Request,1.7,5,2025-06-10
TKT1029,Chen,Feature Request,1.85,4,2025-06-18
TKT1030,Maria,Feature Request,1.7,4,2025-05-21
TKT1031,Chen,Feature Request,2.93,4,2025-06-05
TKT1032,James,Feature Request,1.99,1,2025-06-02
TKT1033,James,Bug Report,1.47,2,2025-06-15
TKT1034,Bayonne,Bug Report,2.41,1,2025-05-22
TKT1035,Bayonne,Feature Request,1.39,4,2025-05-31
TKT1036,Chen,Login Issue,2.1,3,2025-06-17
TKT1037,Linda,Billing,1.02,4,2025-06-04
TKT1038,Chen,Feature Request,1.34,5,2025-06-03
TKT1039,Maria,Bug Report,2.1,3,2025-05-26
TKT1040,Linda,Other,2.37,4,2025-06-06
TKT1041,Maria,Billing,2.09,5,2025-06-10
TKT1042,Linda,Other,1.94,3,2025-05-31
TKT1043,Bayonne,Login Issue,1.85,2,2025-06-15
TKT1044,Maria,Bug Report,1.26,3,2025-06-05
TKT1045,Linda,Other,1.64,3,2025-05-30
TKT1046,Linda,Login Issue,1.77,5,2025-05-25
TKT1047,Chen,Feature Request,2.53,5,2025-05-27
TKT1048,Bayonne,Other,2.17,4,2025-05-30
TKT1049,Linda,Other,1.12,5,2025-06-07
